city,source,fiscal_year_or_date,description,amount
San Francisco,n9pm-xkyq,2024,POL Police,1535000
San Francisco,n9pm-xkyq,2025,DPW Public Works,8100
San Francisco,n9pm-xkyq,2025,DPW Public Works,6750
San Francisco,n9pm-xkyq,2025,DPW Public Works,6750
San Francisco,n9pm-xkyq,2026,DPW Public Works,6750
San Francisco,n9pm-xkyq,2026,POL Police,1200000
San Francisco,n9pm-xkyq,2026,POL Police,1228000
San Francisco,n9pm-xkyq,2027,POL Police,1200000
San Francisco,cqi5-hm2d,2024-02-20 to 2027-02-19,POL - ALPR subscription,3935000
San Francisco,cqi5-hm2d,2025-09-22 to 2027-09-21,POL- Flock Aerodome DFR,2484532
Denver,wnau-xrqi,2025-10-15,Computer services,130009.35
Denver,wnau-xrqi,2025-12-12,Computer services,43000
Denver,wnau-xrqi,2025-12-12,Computer services,1000
Denver,wnau-xrqi,2025-12-12,Computer services,2500
Denver,wnau-xrqi,2025-12-12,Computer services,900
Denver,wnau-xrqi,2025-12-12,Computer services,2500
