month,city,motor_vehicle_thefts,per_100k
2022-01,sf,710,87.76
2022-02,sf,739,91.35
2022-03,sf,657,81.21
2022-04,sf,595,73.55
2022-05,sf,596,73.67
2022-06,sf,638,78.86
2022-07,sf,687,84.92
2022-08,sf,702,86.78
2022-09,sf,743,91.84
2022-10,sf,750,92.71
2022-11,sf,711,87.89
2022-12,sf,697,86.16
2023-01,sf,667,82.45
2023-02,sf,664,82.08
2023-03,sf,751,92.83
2023-04,sf,761,94.07
2023-05,sf,851,105.19
2023-06,sf,764,94.44
2023-07,sf,938,115.95
2023-08,sf,781,96.54
2023-09,sf,788,97.41
2023-10,sf,721,89.12
2023-11,sf,673,83.19
2023-12,sf,626,77.38
2024-01,sf,712,88.01
2024-02,sf,695,85.91
2024-03,sf,619,76.52
2024-04,sf,535,66.13
2024-05,sf,580,71.69
2024-06,sf,629,77.75
2024-07,sf,757,93.57
2024-08,sf,645,79.73
2024-09,sf,597,73.8
2024-10,sf,544,67.24
2024-11,sf,445,55.01
2024-12,sf,494,61.06
2025-01,sf,444,54.88
2025-02,sf,381,47.1
2025-03,sf,380,46.97
2025-04,sf,316,39.06
2025-05,sf,372,45.98
2025-06,sf,327,40.42
2025-07,sf,346,42.77
2025-08,sf,346,42.77
2025-09,sf,336,41.53
2025-10,sf,321,39.68
2025-11,sf,290,35.85
2025-12,sf,284,35.11
2026-01,sf,272,33.62
2026-02,sf,266,32.88
2026-03,sf,275,33.99
2026-04,sf,291,35.97
2026-05,sf,298,36.84
2026-06,sf,261,32.26
2022-01,oakland,655,150.06
2022-02,oakland,650,148.91
2022-03,oakland,628,143.87
2022-04,oakland,668,153.03
2022-05,oakland,679,155.55
2022-06,oakland,591,135.39
2022-07,oakland,651,149.14
2022-08,oakland,758,173.65
2022-09,oakland,685,156.93
2022-10,oakland,782,179.15
2022-11,oakland,842,192.9
2022-12,oakland,842,192.9
2023-01,oakland,1017,232.99
2023-02,oakland,763,174.8
2023-03,oakland,778,178.23
2023-04,oakland,929,212.83
2023-05,oakland,1050,240.55
2023-06,oakland,1112,254.75
2023-07,oakland,1036,237.34
2023-08,oakland,928,212.6
2023-09,oakland,932,213.51
2023-10,oakland,925,211.91
2023-11,oakland,884,202.52
2023-12,oakland,917,210.08
2024-01,oakland,953,218.33
2024-02,oakland,865,198.17
2024-03,oakland,802,183.73
2024-04,oakland,762,174.57
2024-05,oakland,921,210.99
2024-06,oakland,891,204.12
2024-07,oakland,847,194.04
2024-08,oakland,720,164.95
2024-09,oakland,624,142.95
2024-10,oakland,577,132.19
2024-11,oakland,578,132.42
2024-12,oakland,694,158.99
2025-01,oakland,549,125.77
2025-02,oakland,471,107.9
2025-03,oakland,524,120.04
2025-04,oakland,549,125.77
2025-05,oakland,483,110.65
2025-06,oakland,478,109.51
2025-07,oakland,597,136.77
2025-08,oakland,566,129.67
2025-09,oakland,605,138.6
2025-10,oakland,490,112.26
2025-11,oakland,416,95.3
2025-12,oakland,491,112.48
2026-01,oakland,537,123.02
2026-02,oakland,455,104.24
2026-03,oakland,467,106.99
2026-04,oakland,464,106.3
2026-05,oakland,504,115.46
2026-06,oakland,482,110.42
2022-01,austin,409,41.74
2022-02,austin,396,40.41
2022-03,austin,467,47.66
2022-04,austin,449,45.82
2022-05,austin,359,36.64
2022-06,austin,392,40.0
2022-07,austin,470,47.96
2022-08,austin,440,44.9
2022-09,austin,442,45.11
2022-10,austin,396,40.41
2022-11,austin,397,40.52
2022-12,austin,485,49.5
2023-01,austin,422,43.07
2023-02,austin,475,48.48
2023-03,austin,557,56.84
2023-04,austin,500,51.03
2023-05,austin,597,60.93
2023-06,austin,629,64.19
2023-07,austin,560,57.15
2023-08,austin,668,68.17
2023-09,austin,574,58.58
2023-10,austin,572,58.37
